Node Population Gap_0 Gap_200 Gap_400 Gap_600 Gap_800 Gap_1000 Gap_1200 Gap_1400 Gap_1600 Gap_1800 Gap_2000 Gap_2200 Gap_2400 Gap_2600 Gap_2800 Gap_3000 Gap_3200 Gap_3400 Gap_3600 Gap_3800 Gap_4000 Gap_4200 Gap_4400 Gap_4600 Gap_4800 Gap_5000
-56.5253342--33.3723962 38 1 1 2 3 5 5 7 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5219267--33.3729218 51 1 1 3 4 6 6 8 9 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5224023--33.3737209 46 1 1 2 4 6 7 8 9 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14 14
-56.5203055--33.3726143 47 1 1 3 4 5 8 9 9 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14 14
-56.5197646--33.3718108 59 1 1 4 4 5 7 9 10 10 10 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5192401--33.3709973 4 1 1 4 4 5 7 9 10 10 10 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5187179--33.3702438 0 1 1 2 5 6 6 8 10 10 10 10 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5203646--33.3704936 98 1 1 4 4 5 7 9 10 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5213816--33.3721082 63 1 2 3 4 5 7 9 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14 14
-56.5203646--33.3704936 76 1 1 4 4 5 7 9 10 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5195585--33.3692162 20 1 1 3 4 5 7 9 10 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5198561--33.3696908 79 1 1 4 4 5 7 9 10 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5225304--33.3715724 62 1 2 3 3 6 6 7 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5242802--33.3707704 60 1 1 2 4 4 6 7 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5228623--33.3704616 92 1 2 3 3 6 6 8 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5227078--33.3704407 96 1 2 3 3 6 6 8 10 11 11 11 12 12 12 12 13 13 13 13 13 13 13 13 14 14 14
-56.5223205--33.3695962 26 1 1 2 3 4 8 9 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5215276--33.3683306 9 1 1 2 3 5 8 9 9 10 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 14 14
-56.5222942--33.3675548 0 1 1 1 2 5 6 9 9 9 11 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14
-56.5208192--33.3692355 62 1 1 2 4 5 8 9 9 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5218012--33.3687795 67 1 1 2 4 4 8 9 9 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14
-56.5222879--33.3715467 56 1 2 3 3 6 6 7 10 11 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.5208701--33.3713047 36 1 2 3 4 5 7 9 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
-56.521844--33.3708583 24 2 2 3 3 5 7 9 10 10 11 11 12 12 12 13 13 13 13 13 13 13 13 13 14 14 14
