NodesOrigin NodeDestination TravelTime
-55.5523469--30.9401378 -55.5429827--30.8975041 5757.941587608779
-55.5523469--30.9401378 -55.5446627--30.9072855 4457.696437559918
-55.5523469--30.9401378 -55.555358--30.8917376 6986.601396480918
-55.5523469--30.9401378 -55.5367526--30.9026954 5009.914565573192
-55.5523469--30.9401378 -55.5458412--30.908663 4263.199638002798
-55.5523469--30.9401378 -55.5480177--30.9348957 900.913991450481
-55.5523469--30.9401378 -55.5432647--30.9046453 4760.947882429008
-55.5523469--30.9401378 -55.5387842--30.8983692 5578.041482699872
-55.5523469--30.9401378 -55.535206--30.8968925 5606.669583128194
-55.5523469--30.9401378 -55.5408345--30.8994459 5405.243425326406
-55.5523469--30.9401378 -55.5479583--30.8988977 5671.668971879656
-55.5415192--30.9302138 -55.5408045--30.8940981 4862.197180555418
-55.5415192--30.9302138 -55.5429827--30.8975041 4429.793338009081
-55.5415192--30.9302138 -55.5446627--30.9072855 3129.548187960221
-55.5415192--30.9302138 -55.555358--30.8917376 5658.45314688122
-55.5415192--30.9302138 -55.5367526--30.9026954 3642.952389570033
-55.5415192--30.9302138 -55.5458412--30.908663 2935.0513884031006
-55.5415192--30.9302138 -55.5480177--30.9348957 1326.5969761823621
-55.5415192--30.9302138 -55.5432647--30.9046453 3432.79963282931
-55.5415192--30.9302138 -55.5387842--30.8983692 4249.893233100173
-55.5415192--30.9302138 -55.535206--30.8968925 4239.707407125037
-55.5415192--30.9302138 -55.5408345--30.8994459 4077.0951757267076
-55.5415192--30.9302138 -55.5479583--30.8988977 4343.520722279958
-55.5475543--30.9255659 -55.5408045--30.8940981 3969.0784706949953
-55.5475543--30.9255659 -55.5429827--30.8975041 3532.5340999768678
-55.5475543--30.9255659 -55.5446627--30.9072855 2232.288949928007
-55.5475543--30.9255659 -55.555358--30.8917376 4761.193908849006
-55.5475543--30.9255659 -55.5367526--30.9026954 3373.79694609594
-55.5475543--30.9255659 -55.5458412--30.908663 2037.7921503708865
-55.5475543--30.9255659 -55.5480177--30.9348957 1541.5056169790491
-55.5475543--30.9255659 -55.5432647--30.9046453 2535.5403947970963
-55.5475543--30.9255659 -55.5387842--30.8983692 3352.63399506796
-55.5475543--30.9255659 -55.535206--30.8968925 3791.0137116594888
-55.5475543--30.9255659 -55.5408345--30.8994459 3179.8359376944936
-55.5475543--30.9255659 -55.5479583--30.8988977 3446.2614842477446
-55.5526509--30.9388286 -55.5408045--30.8940981 5986.610979692388
-55.5526509--30.9388286 -55.5429827--30.8975041 5550.066608974258
-55.5526509--30.9388286 -55.5446627--30.9072855 4249.821458925398
-55.5526509--30.9388286 -55.555358--30.8917376 6778.7264178463975
-55.5526509--30.9388286 -55.5367526--30.9026954 4904.2333634709785
-55.5526509--30.9388286 -55.5458412--30.908663 4055.3246593682775
-55.5526509--30.9388286 -55.5480177--30.9348957 807.5182854729219
-55.5526509--30.9388286 -55.5432647--30.9046453 4553.0729037944875
-55.5526509--30.9388286 -55.5387842--30.8983692 5370.166504065352
-55.5526509--30.9388286 -55.535206--30.8968925 5500.98838102598
-55.5526509--30.9388286 -55.5408345--30.8994459 5197.368446691886
-55.5526509--30.9388286 -55.5479583--30.8988977 5463.793993245135
-55.5447562--30.9250799 -55.5408045--30.8940981 3989.2767348923544
-55.5447562--30.9250799 -55.5429827--30.8975041 3552.732364174227
-55.5447562--30.9250799 -55.5446627--30.9072855 2252.487214125366
-55.5447562--30.9250799 -55.555358--30.8917376 4781.392173046365
-55.5447562--30.9250799 -55.5367526--30.9026954 3197.774131001197
-55.5447562--30.9250799 -55.5458412--30.908663 2057.9904145682453
-55.5447562--30.9250799 -55.5480177--30.9348957 1344.482244107638
-55.5447562--30.9250799 -55.5432647--30.9046453 2555.7386589944554
-55.5447562--30.9250799 -55.5387842--30.8983692 3372.832259265319
-55.5447562--30.9250799 -55.535206--30.8968925 3794.529148556203
-55.5447562--30.9250799 -55.5408345--30.8994459 3200.0342018918527
-55.5447562--30.9250799 -55.5479583--30.8988977 3466.4597484451037
-55.5421209--30.9171292 -55.5408045--30.8940981 3445.2736276096803
-55.5421209--30.9171292 -55.5429827--30.8975041 3134.633155555049
-55.5421209--30.9171292 -55.5446627--30.9072855 1776.7057253849648
-55.5421209--30.9171292 -55.555358--30.8917376 4363.292964427188
-55.5421209--30.9171292 -55.5367526--30.9026954 2226.028836624296
-55.5421209--30.9171292 -55.5458412--30.908663 1585.2201251531008
-55.5421209--30.9171292 -55.5480177--30.9348957 2361.1160387472514
-55.5421209--30.9171292 -55.5432647--30.9046453 2119.9338102435577
-55.5421209--30.9171292 -55.5387842--30.8983692 2888.398335414746
-55.5421209--30.9171292 -55.535206--30.8968925 2822.7838541793008
-55.5421209--30.9171292 -55.5408345--30.8994459 2781.9349932726745
-55.5421209--30.9171292 -55.5479583--30.8988977 3048.360539825926
-55.5393706--30.9147171 -55.5408045--30.8940981 2927.3068325388344
-55.5393706--30.9147171 -55.5429827--30.8975041 2616.6663604842042
-55.5393706--30.9147171 -55.5446627--30.9072855 1258.7389303141194
-55.5393706--30.9147171 -55.555358--30.8917376 3845.326169356343
-55.5393706--30.9147171 -55.5367526--30.9026954 1708.0620415534502
-55.5393706--30.9147171 -55.5458412--30.908663 1067.2533300822554
-55.5393706--30.9147171 -55.5480177--30.9348957 2427.1236148808907
-55.5393706--30.9147171 -55.5432647--30.9046453 1601.9670151727125
-55.5393706--30.9147171 -55.5387842--30.8983692 2370.4315403438995
-55.5393706--30.9147171 -55.535206--30.8968925 2304.817059108455
-55.5393706--30.9147171 -55.5408345--30.8994459 2263.9681982018287
-55.5393706--30.9147171 -55.5479583--30.8988977 2530.3937447550807
-55.5433092--30.9221684 -55.5408045--30.8940981 3713.4672721409156
-55.5433092--30.9221684 -55.5429827--30.8975041 3276.922901422788
-55.5433092--30.9221684 -55.5446627--30.9072855 1976.6777513739273
-55.5433092--30.9221684 -55.555358--30.8917376 4505.582710294927
-55.5433092--30.9221684 -55.5367526--30.9026954 2938.42189164082
-55.5433092--30.9221684 -55.5458412--30.908663 1782.1809518168068
-55.5433092--30.9221684 -55.5480177--30.9348957 1878.2511666741998
-55.5433092--30.9221684 -55.5432647--30.9046453 2279.9291962430166
-55.5433092--30.9221684 -55.5387842--30.8983692 3097.0227965138806
-55.5433092--30.9221684 -55.535206--30.8968925 3535.176909195826
-55.5433092--30.9221684 -55.5408345--30.8994459 2924.2247391404135
-55.5433092--30.9221684 -55.5479583--30.8988977 3190.650285693665
-55.5392433--30.915643 -55.5408045--30.8940981 3047.7346758390595
-55.5392433--30.915643 -55.5429827--30.8975041 2737.0942037844293
-55.5392433--30.915643 -55.5446627--30.9072855 1379.1667736143447
-55.5392433--30.915643 -55.555358--30.8917376 3965.754012656568
-55.5392433--30.915643 -55.5367526--30.9026954 1828.4898848536754
-55.5392433--30.915643 -55.5458412--30.908663 1187.6811733824807
-55.5392433--30.915643 -55.5480177--30.9348957 2328.084875260369
-55.5392433--30.915643 -55.5432647--30.9046453 1722.3948584729378
-55.5392433--30.915643 -55.5387842--30.8983692 2490.859383644125
-55.5392433--30.915643 -55.535206--30.8968925 2425.24490240868
-55.5392433--30.915643 -55.5408345--30.8994459 2384.396041502054
-55.5392433--30.915643 -55.5479583--30.8988977 2650.821588055306
-55.5412385--30.9174241 -55.5408045--30.8940981 3354.5694787926814
-55.5412385--30.9174241 -55.5429827--30.8975041 3043.9290067380507
-55.5412385--30.9174241 -55.5446627--30.9072855 1686.0015765679661
-55.5412385--30.9174241 -55.555358--30.8917376 4272.58881561019
-55.5412385--30.9174241 -55.5367526--30.9026954 2135.3246878072973
-55.5412385--30.9174241 -55.5458412--30.908663 1494.515976336102
-55.5412385--30.9174241 -55.5480177--30.9348957 2273.423534699885
-55.5412385--30.9174241 -55.5432647--30.9046453 2029.2296614265592
-55.5412385--30.9174241 -55.5387842--30.8983692 2797.694186597747
-55.5412385--30.9174241 -55.535206--30.8968925 2732.079705362302
-55.5412385--30.9174241 -55.5408345--30.8994459 2691.2308444556757
-55.5412385--30.9174241 -55.5479583--30.8988977 2957.6563910089276
-55.5457229--30.9297957 -55.5408045--30.8940981 4699.46568816662
-55.5457229--30.9297957 -55.5429827--30.8975041 4262.921317448492
-55.5457229--30.9297957 -55.5446627--30.9072855 2962.676167399631
-55.5457229--30.9297957 -55.555358--30.8917376 5491.58112632063
-55.5457229--30.9297957 -55.5367526--30.9026954 3526.14066726472
-55.5457229--30.9297957 -55.5458412--30.908663 2768.1793678425106
-55.5457229--30.9297957 -55.5480177--30.9348957 634.2932908333739
-55.5457229--30.9297957 -55.5432647--30.9046453 3265.92761226872
-55.5457229--30.9297957 -55.5387842--30.8983692 4083.021212539584
-55.5457229--30.9297957 -55.535206--30.8968925 4122.895684819726
-55.5457229--30.9297957 -55.5408345--30.8994459 3910.223155166117
-55.5457229--30.9297957 -55.5479583--30.8988977 4176.648701719369
-55.539736--30.9297119 -55.5408045--30.8940981 4833.589774589924
-55.539736--30.9297119 -55.5429827--30.8975041 4401.185932043587
-55.539736--30.9297119 -55.5446627--30.9072855 3100.940781994727
-55.539736--30.9297119 -55.555358--30.8917376 5629.845740915725
-55.539736--30.9297119 -55.5367526--30.9026954 3614.3449836045384
-55.539736--30.9297119 -55.5458412--30.908663 2906.4439824376063
-55.539736--30.9297119 -55.5480177--30.9348957 1234.2514711680644
-55.539736--30.9297119 -55.5432647--30.9046453 3404.192226863816
-55.539736--30.9297119 -55.5387842--30.8983692 4221.2858271346795
-55.539736--30.9297119 -55.535206--30.8968925 4211.100001159543
-55.539736--30.9297119 -55.5408345--30.8994459 4048.487769761213
-55.539736--30.9297119 -55.5479583--30.8988977 4314.913316314464
-55.5311917--30.9056459 -55.5408045--30.8940981 1813.8179406303107
-55.5311917--30.9056459 -55.5429827--30.8975041 1593.326197879672
-55.5311917--30.9056459 -55.5446627--30.9072855 1808.2192638389988
-55.5311917--30.9056459 -55.555358--30.8917376 2856.654193062744
-55.5311917--30.9056459 -55.5367526--30.9026954 624.2415304697779
-55.5311917--30.9056459 -55.5458412--30.908663 2002.7160633961194
-55.5311917--30.9056459 -55.5480177--30.9348957 3689.065373543609
-55.5311917--30.9056459 -55.5432647--30.9046453 1534.9272107024353
-55.5311917--30.9056459 -55.5387842--30.8983692 1256.9426484353762
-55.5311917--30.9056459 -55.535206--30.8968925 1191.3281671999305
-55.5311917--30.9056459 -55.5408345--30.8994459 1226.0743198420514
-55.5311917--30.9056459 -55.5479583--30.8988977 1955.2357121930045
-55.5940963--30.9124609 -55.5408045--30.8940981 6833.632416428624
-55.5940963--30.9124609 -55.5429827--30.8975041 6422.6753063144415
-55.5940963--30.9124609 -55.5446627--30.9072855 5892.899734568602
-55.5940963--30.9124609 -55.555358--30.8917376 5026.164781180211
-55.5940963--30.9124609 -55.5367526--30.9026954 7068.723547920544
-55.5940963--30.9124609 -55.5458412--30.908663 5716.574168370353
-55.5940963--30.9124609 -55.5480177--30.9348957 6810.355444636826
-55.5940963--30.9124609 -55.5432647--30.9046453 6172.19315378462
-55.5940963--30.9124609 -55.5387842--30.8983692 6921.00947236458
-55.5940963--30.9124609 -55.535206--30.8968925 7438.001182116587
-55.5940963--30.9124609 -55.5408345--30.8994459 6643.717702985001
-55.5940963--30.9124609 -55.5479583--30.8988977 5738.95281889031
-55.5732674--30.8929422 -55.5408045--30.8940981 3996.3723404267607
-55.5732674--30.8929422 -55.5429827--30.8975041 3585.415230312577
-55.5732674--30.8929422 -55.5446627--30.9072855 4036.369012339424
-55.5732674--30.8929422 -55.555358--30.8917376 2188.904705178347
-55.5732674--30.8929422 -55.5367526--30.9026954 4231.46347191868
-55.5732674--30.8929422 -55.5458412--30.908663 4201.84543980114
-55.5732674--30.8929422 -55.5480177--30.9348957 7507.269776667739
-55.5732674--30.8929422 -55.5432647--30.9046453 3694.3191582821228
-55.5732674--30.8929422 -55.5387842--30.8983692 4083.7493963627157
-55.5732674--30.8929422 -55.535206--30.8968925 4600.741106114723
-55.5732674--30.8929422 -55.5408345--30.8994459 3806.4576269831364
-55.5732674--30.8929422 -55.5479583--30.8988977 2901.692742888447
-55.5258063--30.9018602 -55.5408045--30.8940981 1811.3420154643886
-55.5258063--30.9018602 -55.5429827--30.8975041 1920.0487536049043
-55.5258063--30.9018602 -55.5446627--30.9072855 2500.827381112484
-55.5258063--30.9018602 -55.555358--30.8917376 3329.5862301550374
-55.5258063--30.9018602 -55.5367526--30.9026954 1304.797425008236
-55.5258063--30.9018602 -55.5458412--30.908663 2695.3241806696046
-55.5258063--30.9018602 -55.5480177--30.9348957 4398.120328147303
-55.5258063--30.9018602 -55.5432647--30.9046453 2222.5960874170246
-55.5258063--30.9018602 -55.5387842--30.8983692 1503.685580396842
-55.5258063--30.9018602 -55.535206--30.8968925 1178.9975005165934
-55.5258063--30.9018602 -55.5408345--30.8994459 1725.392259146944
-55.5258063--30.9018602 -55.5479583--30.8988977 2606.808689197317
-55.5347445--30.9205881 -55.5408045--30.8940981 3886.4606068191288
-55.5347445--30.9205881 -55.5429827--30.8975041 3575.8201347644977
-55.5347445--30.9205881 -55.5446627--30.9072855 2217.8927045944133
-55.5347445--30.9205881 -55.555358--30.8917376 4804.479943636636
-55.5347445--30.9205881 -55.5367526--30.9026954 2667.215815833744
-55.5347445--30.9205881 -55.5458412--30.908663 2026.4071043625493
-55.5347445--30.9205881 -55.5480177--30.9348957 2466.6861528510863
-55.5347445--30.9205881 -55.5432647--30.9046453 2561.120789453006
-55.5347445--30.9205881 -55.5387842--30.8983692 3329.5853146241943
-55.5347445--30.9205881 -55.535206--30.8968925 3263.9708333887493
-55.5347445--30.9205881 -55.5408345--30.8994459 3223.121972482123
-55.5347445--30.9205881 -55.5479583--30.8988977 3489.5475190353745
-55.5698955--30.8913131 -55.5408045--30.8940981 3647.518085011005
-55.5698955--30.8913131 -55.5429827--30.8975041 3236.5609748968213
-55.5698955--30.8913131 -55.5446627--30.9072855 3687.5147569236674
-55.5698955--30.8913131 -55.555358--30.8917376 1840.0504497625905
-55.5698955--30.8913131 -55.5367526--30.9026954 3882.6092165029227
-55.5698955--30.8913131 -55.5458412--30.908663 3852.9911843853833
-55.5698955--30.8913131 -55.5480177--30.9348957 7158.415521251984
-55.5698955--30.8913131 -55.5432647--30.9046453 3345.4649028663657
-55.5698955--30.8913131 -55.5387842--30.8983692 3734.89514094696
-55.5698955--30.8913131 -55.535206--30.8968925 4251.886850698967
-55.5698955--30.8913131 -55.5408345--30.8994459 3457.6033715673807
-55.5698955--30.8913131 -55.5479583--30.8988977 2552.83848747269
-55.5680513--30.8944699 -55.5408045--30.8940981 3328.285666719718
-55.5680513--30.8944699 -55.5429827--30.8975041 2917.3285566055342
-55.5680513--30.8944699 -55.5446627--30.9072855 3368.2823386323794
-55.5680513--30.8944699 -55.555358--30.8917376 1520.8180314713027
-55.5680513--30.8944699 -55.5367526--30.9026954 3563.3767982116356
-55.5680513--30.8944699 -55.5458412--30.908663 3533.7587660940953
-55.5680513--30.8944699 -55.5480177--30.9348957 6839.1831029606965
-55.5680513--30.8944699 -55.5432647--30.9046453 3026.232484575078
-55.5680513--30.8944699 -55.5387842--30.8983692 3415.662722655673
-55.5680513--30.8944699 -55.535206--30.8968925 3932.654432407679
-55.5680513--30.8944699 -55.5408345--30.8994459 3138.3709532760936
-55.5680513--30.8944699 -55.5479583--30.8988977 2233.6060691814023
-55.5287024--30.920455 -55.5408045--30.8940981 3768.6255755981842
-55.5287024--30.920455 -55.5429827--30.8975041 3548.133832847546
-55.5287024--30.920455 -55.5446627--30.9072855 2437.476260667919
-55.5287024--30.920455 -55.555358--30.8917376 4804.9506803508875
-55.5287024--30.920455 -55.5367526--30.9026954 2575.4831266194965
-55.5287024--30.920455 -55.5458412--30.908663 2378.0094153434575
-55.5287024--30.920455 -55.5480177--30.9348957 3194.777488929858
-55.5287024--30.920455 -55.5432647--30.9046453 2611.563566680436
-55.5287024--30.920455 -55.5387842--30.8983692 3211.75028340325
-55.5287024--30.920455 -55.535206--30.8968925 3146.1358021678047
-55.5287024--30.920455 -55.5408345--30.8994459 3180.881954809925
-55.5287024--30.920455 -55.5479583--30.8988977 3487.42146312578
-55.5609234--30.8855762 -55.5408045--30.8940981 2329.3143287633743
-55.5609234--30.8855762 -55.5429827--30.8975041 2514.5132002445644
-55.5609234--30.8855762 -55.5446627--30.9072855 3611.45135013344
-55.5609234--30.8855762 -55.555358--30.8917376 1111.2985392613157
-55.5609234--30.8855762 -55.5367526--30.9026954 3354.2544456435644
-55.5609234--30.8855762 -55.5458412--30.908663 3776.927777595156
-55.5609234--30.8855762 -55.5480177--30.9348957 7082.352114461755
-55.5609234--30.8855762 -55.5432647--30.9046453 3269.4014960761383
-55.5609234--30.8855762 -55.5387842--30.8983692 2643.9829280592057
-55.5609234--30.8855762 -55.535206--30.8968925 2961.370726800097
-55.5609234--30.8855762 -55.5408345--30.8994459 2735.5555969151237
-55.5609234--30.8855762 -55.5479583--30.8988977 2427.8947189362502
-55.5736567--30.8940321 -55.5408045--30.8940981 4002.7755353696216
-55.5736567--30.8940321 -55.5429827--30.8975041 3591.818425255438
-55.5736567--30.8940321 -55.5446627--30.9072855 4042.772207282285
-55.5736567--30.8940321 -55.555358--30.8917376 2195.3079001212077
-55.5736567--30.8940321 -55.5367526--30.9026954 4237.866666861541
-55.5736567--30.8940321 -55.5458412--30.908663 4208.248634744001
-55.5736567--30.8940321 -55.5480177--30.9348957 7513.6729716106
-55.5736567--30.8940321 -55.5432647--30.9046453 3700.7223532249836
-55.5736567--30.8940321 -55.5387842--30.8983692 4090.1525913055766
-55.5736567--30.8940321 -55.535206--30.8968925 4607.144301057584
-55.5736567--30.8940321 -55.5408345--30.8994459 3812.8608219259972
-55.5736567--30.8940321 -55.5479583--30.8988977 2908.0959378313078
-55.5251238--30.9034725 -55.5408045--30.8940981 2004.8254920292552
-55.5251238--30.9034725 -55.5429827--30.8975041 2019.0402673184146
-55.5251238--30.9034725 -55.5446627--30.9072855 2599.818894825995
-55.5251238--30.9034725 -55.555358--30.8917376 3428.5777438685477
-55.5251238--30.9034725 -55.5367526--30.9026954 1403.7889387217467
-55.5251238--30.9034725 -55.5458412--30.908663 2794.3156943831154
-55.5251238--30.9034725 -55.5480177--30.9348957 4476.607734053031
-55.5251238--30.9034725 -55.5432647--30.9046453 2321.5876011305354
-55.5251238--30.9034725 -55.5387842--30.8983692 1602.6770941103528
-55.5251238--30.9034725 -55.535206--30.8968925 1372.4809770814597
-55.5251238--30.9034725 -55.5408345--30.8994459 1824.3837728604549
-55.5251238--30.9034725 -55.5479583--30.8988977 2705.8002029108275
-55.5333102--30.9012756 -55.5408045--30.8940981 1191.7318274579848
-55.5333102--30.9012756 -55.5429827--30.8975041 1112.9183163492767
-55.5333102--30.9012756 -55.5446627--30.9072855 1697.085354164756
-55.5333102--30.9012756 -55.555358--30.8917376 2522.4557928994104
-55.5333102--30.9012756 -55.5367526--30.9026954 501.0553980605078
-55.5333102--30.9012756 -55.5458412--30.908663 1891.5821537218765
-55.5333102--30.9012756 -55.5480177--30.9348957 4182.971004925653
-55.5333102--30.9012756 -55.5432647--30.9046453 1418.8540604692967
-55.5333102--30.9012756 -55.5387842--30.8983692 614.584150299138
-55.5333102--30.9012756 -55.535206--30.8968925 569.2420540276048
-55.5333102--30.9012756 -55.5408345--30.8994459 921.6502321992158
-55.5333102--30.9012756 -55.5479583--30.8988977 1799.6782519416902
-55.5365622--30.9092763 -55.5408045--30.8940981 2307.4010339107317
-55.5365622--30.9092763 -55.5429827--30.8975041 1993.8043734628736
-55.5365622--30.9092763 -55.5446627--30.9072855 981.0340008456755
-55.5365622--30.9092763 -55.555358--30.8917376 3226.7199130281397
-55.5365622--30.9092763 -55.5367526--30.9026954 1007.5857108161119
-55.5365622--30.9092763 -55.5458412--30.908663 1175.5308004027959
-55.5365622--30.9092763 -55.5480177--30.9348957 3132.6166689254333
-55.5365622--30.9092763 -55.5432647--30.9046453 914.5137266650021
-55.5365622--30.9092763 -55.5387842--30.8983692 1718.2593120036875
-55.5365622--30.9092763 -55.535206--30.8968925 1684.9112604803518
-55.5365622--30.9092763 -55.5408345--30.8994459 1616.7752928637606
-55.5365622--30.9092763 -55.5479583--30.8988977 1909.1906958030331
-55.5333201--30.9034335 -55.5408045--30.8940981 1464.7696679620908
-55.5333201--30.9034335 -55.5429827--30.8975041 1229.8403733179596
-55.5333201--30.9034335 -55.5446627--30.9072855 1616.3959341420093
-55.5333201--30.9034335 -55.555358--30.8917376 2474.1293227950723
-55.5333201--30.9034335 -55.5367526--30.9026954 422.19962180747535
-55.5333201--30.9034335 -55.5458412--30.908663 1810.8927336991298
-55.5333201--30.9034335 -55.5480177--30.9348957 3920.073933990411
-55.5333201--30.9034335 -55.5432647--30.9046453 1340.7532778444602
-55.5333201--30.9034335 -55.5387842--30.8983692 907.8943757671559
-55.5333201--30.9034335 -55.535206--30.8968925 842.2798945317107
-55.5333201--30.9034335 -55.5408345--30.8994459 843.5494495743793
-55.5333201--30.9034335 -55.5479583--30.8988977 1751.3517818373523
-55.5193567--30.9204092 -55.5408045--30.8940981 4405.386465503946
-55.5193567--30.9204092 -55.5429827--30.8975041 4184.894722753308
-55.5193567--30.9204092 -55.5446627--30.9072855 4348.9870536272265
-55.5193567--30.9204092 -55.555358--30.8917376 5448.22271793638
-55.5193567--30.9204092 -55.5367526--30.9026954 3215.8100553434138
-55.5193567--30.9204092 -55.5458412--30.908663 4543.483853184347
-55.5193567--30.9204092 -55.5480177--30.9348957 6167.180430489361
-55.5193567--30.9204092 -55.5432647--30.9046453 4126.495735576072
-55.5193567--30.9204092 -55.5387842--30.8983692 3848.511173309012
-55.5193567--30.9204092 -55.535206--30.8968925 3782.896692073567
-55.5193567--30.9204092 -55.5408345--30.8994459 3817.642844715687
-55.5193567--30.9204092 -55.5479583--30.8988977 4546.80423706664
-55.5304458--30.9045485 -55.5408045--30.8940981 1716.109853470096
-55.5304458--30.9045485 -55.5429827--30.8975041 1508.876018596981
-55.5304458--30.9045485 -55.5446627--30.9072855 1949.677433256918
-55.5304458--30.9045485 -55.555358--30.8917376 2859.805660008981
-55.5304458--30.9045485 -55.5367526--30.9026954 765.6996998876971
-55.5304458--30.9045485 -55.5458412--30.908663 2144.1742328140385
-55.5304458--30.9045485 -55.5480177--30.9348957 3830.5235429615277
-55.5304458--30.9045485 -55.5432647--30.9046453 1676.3853801203545
-55.5304458--30.9045485 -55.5387842--30.8983692 1159.2345612751612
-55.5304458--30.9045485 -55.535206--30.8968925 1093.6200800397157
-55.5304458--30.9045485 -55.5408345--30.8994459 1229.2257867882886
-55.5304458--30.9045485 -55.5479583--30.8988977 2096.6938816109237
-55.5440588--30.9076032 -55.5408045--30.8940981 1925.7133507034785
